iter	Passed	Remaining
476	662	726
477	663	724
478	664	723
479	665	721
480	666	719
481	668	718
482	670	717
483	671	715
484	672	713
485	673	712
486	674	710
487	675	708
488	676	706
489	677	705
490	678	703
491	679	701
492	680	699
493	681	698
494	682	696
495	683	694
496	685	694
497	686	692
498	687	690
499	688	688
500	689	687
501	690	685
502	691	683
503	692	681
504	693	679
505	695	678
506	696	676
507	697	675
508	697	673
509	700	672
510	701	671
511	702	669
512	703	667
513	704	666
514	705	664
515	706	662
516	707	660
517	709	660
518	710	658
519	711	656
520	712	655
521	715	655
522	716	653
523	717	652
524	718	650
525	720	648
526	721	647
527	722	645
528	723	644
529	725	643
530	726	642
531	729	641
532	730	640
533	731	638
534	733	637
535	733	635
536	734	633
537	735	631
538	736	629
539	737	628
540	738	626
541	739	624
542	740	622
543	740	621
544	741	619
545	742	617
546	743	615
547	744	613
548	744	611
549	745	609
550	746	608
551	747	606
552	748	605
553	750	603
554	751	602
555	752	600
556	753	599
557	755	598
558	757	597
559	759	597
560	761	595
561	762	594
562	762	592
563	763	590
564	764	588
565	765	586
566	765	584
567	766	583
568	767	581
569	768	579
570	769	577
571	769	576
572	772	575
573	773	573
574	774	572
575	775	570
576	776	569
577	777	567
578	778	565
579	779	564
580	779	562
581	780	560
582	781	558
583	782	557
584	782	555
585	783	553
586	784	551
587	786	551
588	787	549
589	787	547
590	788	545
591	789	544
592	790	542
593	791	541
594	792	539
595	793	537
596	794	536
597	795	534
598	795	532
599	796	531
600	797	529
601	798	527
602	798	525
603	799	524
604	801	523
605	802	521
606	803	519
607	803	518
608	805	516
609	806	515
610	806	513
611	807	512
612	808	510
613	809	508
614	810	507
615	810	505
616	811	503
617	812	502
618	813	500
619	814	499
620	816	498
621	817	496
622	818	495
623	820	494
624	820	492
625	822	491
626	823	489
627	826	489
628	827	487
629	827	486
630	828	484
631	829	482
632	829	481
633	831	480
634	832	478
635	833	476
636	834	475
637	834	473
638	835	471
639	837	470
640	838	469
641	839	467
642	839	466
643	840	464
644	841	462
645	841	461
646	842	459
647	843	458
648	844	456
649	844	454
650	847	454
651	882	471
652	884	470
653	886	468
654	887	467
655	889	466
656	890	465
657	893	464
658	896	463
659	898	462
660	898	461
661	899	459
662	900	457
663	901	456
664	903	455
665	904	453
666	905	452
667	906	450
668	910	450
669	914	450
670	915	448
671	954	465
672	958	465
673	960	464
674	961	463
675	963	461
676	965	460
677	967	459
678	968	457
679	970	456
680	979	458
681	981	457
682	983	456
683	1023	473
684	1025	471
685	1026	469
686	1027	468
687	1029	466
688	1030	465
689	1031	463
690	1032	461
691	1033	460
692	1034	458
693	1037	457
694	1038	455
695	1039	454
696	1041	452
697	1042	451
698	1044	449
699	1045	447
700	1046	446
701	1047	444
702	1048	442
703	1049	441
704	1052	440
705	1053	438
706	1057	438
707	1058	436
708	1059	434
709	1060	433
710	1061	431
711	1062	429
712	1063	428
713	1064	426
714	1065	424
715	1071	425
716	1072	423
717	1074	421
718	1075	420
719	1076	418
720	1077	416
721	1078	415
722	1079	413
723	1080	412
724	1084	411
725	1086	409
726	1087	408
727	1088	406
728	1088	404
729	1090	403
730	1091	401
731	1093	400
732	1094	398
733	1095	396
734	1097	395
735	1099	394
736	1100	392
737	1101	390
738	1102	389
739	1103	387
740	1104	386
741	1105	384
742	1106	382
743	1107	381
744	1108	379
745	1109	377
746	1110	376
747	1113	375
748	1115	373
749	1116	372
750	1117	370
751	1118	368
752	1119	367
753	1120	365
754	1121	363
755	1121	362
756	1122	360
757	1123	358
758	1123	356
759	1124	355
760	1125	353
761	1125	351
762	1129	350
763	1130	349
764	1131	347
765	1132	345
766	1133	344
767	1133	342
768	1134	340
769	1135	339
770	1135	337
771	1136	335
772	1136	333
773	1137	332
774	1138	330
775	1138	328
776	1139	327
777	1140	325
778	1141	323
779	1143	322
780	1144	320
781	1144	319
782	1145	317
783	1146	315
784	1146	314
785	1147	312
786	1148	310
787	1148	309
788	1149	307
789	1149	305
790	1150	303
791	1151	302
792	1151	300
793	1152	298
794	1153	297
795	1153	295
796	1154	293
797	1155	292
798	1156	290
799	1157	289
800	1158	287
801	1159	286
802	1160	284
803	1161	283
804	1161	281
805	1162	279
806	1163	278
807	1164	276
808	1164	274
809	1165	273
810	1165	271
811	1166	270
812	1167	268
813	1167	266
814	1168	265
815	1169	263
816	1170	262
817	1171	260
818	1173	259
819	1174	257
820	1174	256
821	1175	254
822	1176	252
823	1176	251
824	1177	249
825	1178	248
826	1179	246
827	1179	245
828	1180	243
829	1181	241
830	1181	240
831	1182	238
832	1183	237
833	1184	235
834	1184	234
835	1185	232
836	1186	230
837	1187	229
838	1188	228
839	1188	226
840	1189	224
841	1190	223
842	1190	221
843	1191	220
844	1192	218
845	1192	217
846	1193	215
847	1194	214
848	1194	212
849	1195	210
850	1196	209
851	1197	208
852	1198	206
853	1199	205
854	1200	203
855	1201	202
856	1203	200
857	1204	199
858	1205	197
859	1206	196
860	1207	194
861	1208	193
862	1209	191
863	1210	190
864	1211	189
865	1212	187
866	1213	186
867	1214	184
868	1215	183
869	1216	181
870	1218	180
871	1220	179
872	1221	177
873	1222	176
874	1223	174
875	1225	173
876	1226	172
877	1227	170
878	1228	169
879	1229	167
880	1230	166
881	1232	164
882	1233	163
883	1234	162
884	1235	160
885	1236	159
886	1237	157
887	1239	156
888	1240	154
889	1241	153
890	1242	151
891	1243	150
892	1244	149
893	1245	147
894	1246	146
895	1248	144
896	1249	143
897	1251	142
898	1252	140
899	1253	139
900	1255	137
901	1256	136
902	1257	135
903	1258	133
904	1259	132
905	1260	130
906	1261	129
907	1263	128
908	1265	126
909	1266	125
910	1268	123
911	1269	122
912	1270	121
913	1271	119
914	1272	118
915	1273	116
916	1274	115
917	1275	113
918	1277	112
919	1278	111
920	1280	109
921	1281	108
922	1282	106
923	1283	105
924	1283	104
925	1284	102
926	1285	101
927	1286	99
928	1287	98
929	1288	97
930	1289	95
931	1290	94
932	1293	92
933	1294	91
934	1295	90
935	1296	88
936	1297	87
937	1298	85
938	1299	84
939	1300	83
940	1301	81
941	1302	80
942	1303	78
943	1304	77
944	1305	75
945	1306	74
946	1309	73
947	1310	71
948	1311	70
949	1312	69
950	1313	67
951	1314	66
952	1315	64
953	1317	63
954	1318	62
955	1319	60
956	1320	59
957	1321	57
958	1324	56
959	1325	55
960	1326	53
961	1327	52
962	1328	51
963	1330	49
964	1331	48
965	1332	46
966	1333	45
967	1334	44
968	1335	42
969	1338	41
970	1339	40
971	1340	38
972	1341	37
973	1343	35
974	1345	34
975	1346	33
976	1346	31
977	1347	30
978	1348	28
979	1348	27
980	1349	26
981	1350	24
982	1351	23
983	1352	21
984	1354	20
985	1355	19
986	1356	17
987	1356	16
988	1357	15
989	1358	13
990	1358	12
991	1359	10
992	1360	9
993	1360	8
994	1361	6
995	1362	5
996	1363	4
997	1364	2
998	1366	1
999	1367	0
